"Financial Quarter And Year Name - Reported","Postcode - Incident","Offence Level 1 Description","Offence Level 2 Description","Offence Level 3 Description","Offence Count"
"Q1-2011/2012","0872","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q1-2011/2012","0872","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","3"
"Q1-2011/2012","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q1-2011/2012","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q1-2011/2012","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q1-2011/2012","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","2"
"Q1-2011/2012","5000","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q1-2011/2012","5000","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q1-2011/2012","5006","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q1-2011/2012","5007","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q1-2011/2012","5007","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q1-2011/2012","5008","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q1-2011/2012","5008","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q1-2011/2012","5008","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","2"
"Q1-2011/2012","5008","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q1-2011/2012","5009","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q1-2011/2012","5009","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q1-2011/2012","5011","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q1-2011/2012","5011","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q1-2011/2012","5012","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q1-2011/2012","5012","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q1-2011/2012","5012","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q1-2011/2012","5012","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","6"
"Q1-2011/2012","5013","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q1-2011/2012","5013","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","14"
"Q1-2011/2012","5013","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","4"
"Q1-2011/2012","5014","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q1-2011/2012","5014","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","6"
"Q1-2011/2012","5014","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q1-2011/2012","5015","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q1-2011/2012","5016","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q1-2011/2012","5016","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q1-2011/2012","5017","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q1-2011/2012","5017","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q1-2011/2012","5017","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q1-2011/2012","5017","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q1-2011/2012","5019","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q1-2011/2012","5019","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q1-2011/2012","5019","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q1-2011/2012","5019","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q1-2011/2012","5019","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","2"
"Q1-2011/2012","5020","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q1-2011/2012","5021","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q1-2011/2012","5022","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","2"
"Q1-2011/2012","5023","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q1-2011/2012","5023","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q1-2011/2012","5023","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q1-2011/2012","5023","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q1-2011/2012","5024","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q1-2011/2012","5025","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q1-2011/2012","5031","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q1-2011/2012","5031","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q1-2011/2012","5031","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q1-2011/2012","5032","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q1-2011/2012","5032","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q1-2011/2012","5033","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q1-2011/2012","5033","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q1-2011/2012","5033","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q1-2011/2012","5033","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
