Postcode - Incident,Offence count,Coordinates,Latitude,Longitude
0832,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
0870,2.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
0872,3377.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
1011,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
2000,2.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2010,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2015,1.0,"(-33.9513544, 151.2495985)",-33.9513544,151.2495985
2016,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2022,1.0,"(-33.9513544, 151.2495985)",-33.9513544,151.2495985
2026,1.0,"(-33.9513544, 151.2495985)",-33.9513544,151.2495985
2044,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2048,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2062,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2064,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2065,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2110,1.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2112,1.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2115,1.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2121,1.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2138,1.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2141,2.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2145,1.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2148,1.0,"(-33.935026, 150.906068)",-33.935026,150.906068
2161,1.0,"(-33.8931163, 151.0857181)",-33.8931163,151.0857181
2164,1.0,"(-33.935026, 150.906068)",-33.935026,150.906068
2190,1.0,"(-33.8931163, 151.0857181)",-33.8931163,151.0857181
2208,1.0,"(-33.960297, 151.116944)",-33.960297,151.116944
2228,1.0,"(-33.97735, 151.105315)",-33.97735,151.105315
2232,1.0,"(-33.97735, 151.105315)",-33.97735,151.105315
2250,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2262,2.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2299,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2305,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2315,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2316,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2327,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2330,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2335,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2370,1.0,"(-35.3236705, 149.1376464)",-35.3236705,149.1376464
2380,2.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
2443,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
2450,1.0,"(-30.8850809, 153.0404537)",-30.8850809,153.0404537
2469,1.0,"(-28.80864745, 153.27007206165234)",-28.80864745,153.27007206165234
