SA3 code,Year,Population
10102.0,2001,45224.0
10102.0,2002,46614.0
10102.0,2003,48109.0
10102.0,2004,48820.0
10102.0,2005,49919.0
10102.0,2006,51118.0
10102.0,2007,52101.0
10102.0,2008,53273.0
10102.0,2009,54354.0
10102.0,2010,55410.0
10102.0,2011,56051.0
10102.0,2012,56638.0
10102.0,2013,57185.0
10102.0,2014,57812.0
10102.0,2015,58408.0
10102.0,2016,59122.0
10102.0,2017,60408.0
10102.0,2018,61622.0
10102.0,2019,62840.0
10102.0,2020,63957.0
10102.0,2021,64892.0
10102.0,2022,65769.0
10102.0,2023,66897.0
10103.0,2001,18810.0
10103.0,2002,19005.0
10103.0,2003,19084.0
10103.0,2004,19128.0
10103.0,2005,19205.0
10103.0,2006,19337.0
10103.0,2007,19413.0
10103.0,2008,19440.0
10103.0,2009,19501.0
10103.0,2010,19577.0
10103.0,2011,19595.0
10103.0,2012,19607.0
10103.0,2013,19632.0
10103.0,2014,19643.0
10103.0,2015,19649.0
10103.0,2016,19688.0
10103.0,2017,19861.0
10103.0,2018,20063.0
10103.0,2019,20273.0
10103.0,2020,20508.0
10103.0,2021,20720.0
10103.0,2022,20867.0
10103.0,2023,21168.0
10104.0,2001,64093.0
10104.0,2002,65063.0
10104.0,2003,65941.0
10104.0,2004,66787.0
10104.0,2005,67299.0
10104.0,2006,67708.0
10104.0,2007,68319.0
10104.0,2008,68762.0
10104.0,2009,69214.0
10104.0,2010,69989.0
10104.0,2011,70407.0
10104.0,2012,70609.0
10104.0,2013,70871.0
10104.0,2014,71213.0
10104.0,2015,71611.0
10104.0,2016,72019.0
10104.0,2017,72832.0
10104.0,2018,73669.0
10104.0,2019,74501.0
10104.0,2020,75539.0
10104.0,2021,76437.0
10104.0,2022,76980.0
10104.0,2023,77443.0
10105.0,2001,32299.0
10105.0,2002,32373.0
10105.0,2003,32389.0
10105.0,2004,32373.0
10105.0,2005,32449.0
10105.0,2006,32474.0
10105.0,2007,32548.0
10105.0,2008,32938.0
10105.0,2009,33412.0
10105.0,2010,33880.0
10105.0,2011,34158.0
10105.0,2012,34590.0
10105.0,2013,35019.0
10105.0,2014,35430.0
10105.0,2015,35853.0
10105.0,2016,36320.0
10105.0,2017,36768.0
10105.0,2018,37233.0
10105.0,2019,37725.0
10105.0,2020,38231.0
10105.0,2021,38484.0
10105.0,2022,38784.0
10105.0,2023,39138.0
10106.0,2001,31071.0
10106.0,2002,31411.0
10106.0,2003,31856.0
10106.0,2004,32177.0
10106.0,2005,32442.0
10106.0,2006,32810.0
10106.0,2007,33259.0
10106.0,2008,33732.0
10106.0,2009,34333.0
10106.0,2010,35070.0
10106.0,2011,35617.0
10106.0,2012,35902.0
10106.0,2013,36101.0
10106.0,2014,36288.0
10106.0,2015,36438.0
10106.0,2016,36666.0
10106.0,2017,36978.0
10106.0,2018,37253.0
10106.0,2019,37562.0
10106.0,2020,37859.0
10106.0,2021,38085.0
10106.0,2022,38237.0
10106.0,2023,38449.0
10201.0,2001,160596.0
10201.0,2002,161388.0
10201.0,2003,161458.0
10201.0,2004,161223.0
10201.0,2005,161462.0
10201.0,2006,161885.0
10201.0,2007,162975.0
10201.0,2008,165153.0
10201.0,2009,167081.0
