Latitude,Longitude,SA2_code_2021,SA3_code_2021,State_name_2021,SA2_name_2021,SA3_name_2021,SA4_name_2021,GCCSA_name_2021
-34.92855,138.6002125,401011001.0,40101.0,South Australia,Adelaide,Adelaide City,Adelaide - Central and Hills,Greater Adelaide
-34.8683,138.5168,404021101.0,40402.0,South Australia,Port Adelaide,Port Adelaide - West,Adelaide - West,Greater Adelaide
-35.0157,138.7383,401021004.0,40102.0,South Australia,Aldgate - Stirling,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
-33.68331666666666,138.04911666666666,405021119.0,40502.0,South Australia,Wakefield - Barunga West,Lower North,Barossa - Yorke - Mid North,Rest of SA
-23.28131388888889,132.78976111111112,702011053.0,70201.0,Northern Territory,Tanami,Alice Springs,Northern Territory - Outback,Rest of NT
-34.695925,138.72874166666665,402021033.0,40202.0,South Australia,One Tree Hill,Playford,Adelaide - North,Greater Adelaide
-34.99528,138.55454,403021061.0,40302.0,South Australia,Mitchell Park,Marion,Adelaide - South,Greater Adelaide
-34.8703,138.73115,401021010.0,40102.0,South Australia,Uraidla - Summertown,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
-34.051199999999994,138.68529999999998,405021117.0,40502.0,South Australia,Gilbert Valley,Lower North,Barossa - Yorke - Mid North,Rest of SA
-35.015550000000005,138.65175,403031065.0,40303.0,South Australia,Belair,Mitcham,Adelaide - South,Greater Adelaide
-34.8288,139.0209,407031164.0,40703.0,South Australia,Mannum,Murray and Mallee,South Australia - South East,Rest of SA
-34.845,138.49528333333333,404021099.0,40402.0,South Australia,Largs Bay - Semaphore,Port Adelaide - West,Adelaide - West,Greater Adelaide
-34.8638,138.59076666666667,402031036.0,40203.0,South Australia,Enfield - Blair Athol,Port Adelaide - East,Adelaide - North,Greater Adelaide
-34.7722,138.66551666666666,402041047.0,40204.0,South Australia,Salisbury East,Salisbury,Adelaide - North,Greater Adelaide
-34.74731666666667,138.58428333333333,402021035.0,40202.0,South Australia,Virginia - Waterloo Corner,Playford,Adelaide - North,Greater Adelaide
-34.58043571428571,139.30145000000002,407031164.0,40703.0,South Australia,Mannum,Murray and Mallee,South Australia - South East,Rest of SA
-34.8819,138.6724,401041015.0,40104.0,South Australia,Paradise - Newton,Campbelltown (SA),Adelaide - Central and Hills,Greater Adelaide
-31.98068333333333,133.25131666666664,406011134.0,40601.0,South Australia,West Coast (SA),Eyre Peninsula and South West,South Australia - Outback,Rest of SA
-35.1404,138.49040000000002,403041073.0,40304.0,South Australia,Christie Downs,Onkaparinga,Adelaide - South,Greater Adelaide
-34.85946,138.61918,402031175.0,40203.0,South Australia,Northgate - Northfield,Port Adelaide - East,Adelaide - North,Greater Adelaide
-33.4995,136.38827500000002,406011131.0,40601.0,South Australia,Kimba - Cleve - Franklin Harbour,Eyre Peninsula and South West,South Australia - Outback,Rest of SA
-34.98164,138.59225999999998,403031068.0,40303.0,South Australia,Colonel Light Gardens,Mitcham,Adelaide - South,Greater Adelaide
-29.0103,134.7575,406021139.0,40602.0,South Australia,Coober Pedy,Outback - North and East,South Australia - Outback,Rest of SA
-35.54978,139.74966,407031169.0,40703.0,South Australia,The Coorong,Murray and Mallee,South Australia - South East,Rest of SA
-34.88744285714286,138.5695,404011093.0,40401.0,South Australia,Hindmarsh - Brompton,Charles Sturt,Adelaide - West,Greater Adelaide
